GO:0000034~adenine deaminase activity	add,
GO:0003950~NAD+ ADP-ribosyltransferase activity	kptA,
GO:0003951~NAD+ kinase activity	nadK,
GO:0003952~NAD+ synthase (glutamine-hydrolyzing) activity	nadE,
GO:0003954~NADH dehydrogenase activity	ndh,
GO:0003955~NAD(P)H dehydrogenase (quinone) activity	BPSL1967,
GO:0003959~NADPH dehydrogenase activity	BPSS0720,BPSL3429,
GO:0003960~NADPH:quinone reductase activity	qor,
GO:0003977~UDP-N-acetylglucosamine diphosphorylase activity	glmU,
GO:0003978~UDP-glucose 4-epimerase activity	BPSL2670,
GO:0003979~UDP-glucose 6-dehydrogenase activity	udg2,udg,
GO:0003983~UTP:glucose-1-phosphate uridylyltransferase activity	gtaB,BPSL2769,galU,
GO:0003984~acetolactate synthase activity	ilvG,ilvH,ilvI,
GO:0003985~acetyl-CoA C-acetyltransferase activity	phbA,
GO:0003986~acetyl-CoA hydrolase activity	cat2,BPSS0514,
GO:0003987~acetate-CoA ligase activity	acsA,
GO:0003989~acetyl-CoA carboxylase activity	accD,BPSS0197,accC,accB,accA,
GO:0003991~acetylglutamate kinase activity	argB,
GO:0003992~N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity	argM,argD,
GO:0003993~acid phosphatase activity	acpA,BPSL2018,BPSL0702,
GO:0003994~aconitate hydratase activity	citB,acnA,
GO:0003995~acyl-CoA dehydrogenase activity	BPSS2032,BPSS2029,BPSS1448,BPSS0617,BPSL3386,BPSL2747,BPSL2329,BPSL0061,
GO:0003998~acylphosphatase activity	acyP,
GO:0003999~adenine phosphoribosyltransferase activity	apt,
GO:0004000~adenosine deaminase activity	BPSL1533,
GO:0004013~adenosylhomocysteinase activity	ahcY,
GO:0004015~adenosylmethionine-8-amino-7-oxononanoate transaminase activity	bioA,
GO:0004017~adenylate kinase activity	adk,
GO:0004018~N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	purB,
GO:0004019~adenylosuccinate synthase activity	purA,
GO:0004020~adenylylsulfate kinase activity	cysC,
GO:0004022~alcohol dehydrogenase (NAD+) activity	adhA,
GO:0004029~aldehyde dehydrogenase (NAD+) activity	BPSS1466,acoD,
GO:0004037~allantoicase activity	alc2,alc1,
GO:0004040~amidase activity	BPSL0278,
GO:0004042~acetyl-CoA:L-glutamate N-acetyltransferase activity	argJ,argA,
GO:0004044~amidophosphoribosyltransferase activity	purF,
GO:0004045~aminoacyl-tRNA hydrolase activity	pth,
GO:0004047~aminomethyltransferase activity	gcvT,
GO:0004048~anthranilate phosphoribosyltransferase activity	trpD,BPSL0509,
GO:0004049~anthranilate synthase activity	trpG,trpE,
GO:0004055~argininosuccinate synthase activity	argG,
GO:0004056~argininosuccinate lyase activity	BPSL2214,argH,BPSL1715,
GO:0004057~arginyltransferase activity	bpt,
GO:0004061~arylformamidase activity	BPSS2156,kynB,
GO:0004066~asparagine synthase (glutamine-hydrolyzing) activity	BPSS0677,asnO,BPSL1796,BPSL0682,
GO:0004067~asparaginase activity	ansA,BPSS1308,ansB,
GO:0004068~aspartate 1-decarboxylase activity	panD,
GO:0004070~aspartate carbamoyltransferase activity	pyrB,
GO:0004072~aspartate kinase activity	ask,
GO:0004073~aspartate-semialdehyde dehydrogenase activity	asd,
GO:0004075~biotin carboxylase activity	BPSS2034,accC,
GO:0004076~biotin synthase activity	bioB,
GO:0004077~biotin-[acetyl-CoA-carboxylase] ligase activity	BPSL0398,
GO:0004084~branched-chain-amino-acid transaminase activity	ilvE,
GO:0004088~carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	carB,carA,
GO:0004089~carbonate dehydratase activity	cynT,BPSL1203,BPSL0372,
GO:0004096~catalase activity	katE,katB,BPSL0071,katG,
GO:0004106~chorismate mutase activity	pchB,BPSL2555,pheA,
GO:0004107~chorismate synthase activity	aroC,
GO:0004108~citrate (Si)-synthase activity	gltA,
GO:0004109~coproporphyrinogen oxidase activity	hemN,BPSL2567,BPSL2366,hemF,
GO:0004112~cyclic-nucleotide phosphodiesterase activity	cca,
GO:0004113~2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	BPSL3156,
GO:0004115~3',5'-cyclic-AMP phosphodiesterase activity	cpdA,
GO:0004121~cystathionine beta-lyase activity	BPSL1542,
GO:0004124~cysteine synthase activity	cysM,
GO:0004125~L-seryl-tRNASec selenium transferase activity	selA,
GO:0004126~cytidine deaminase activity	cdd,
GO:0004127~cytidylate kinase activity	cmk,
GO:0004129~cytochrome-c oxidase activity	cyoA,cyoB,cyoC,BPSS0673,BPSS0086,BPSL2351,nosZ,BPSL1454,BPSL1260,BPSL1259,BPSL0723,BPSL0722,BPSL0458,ctaD,BPSL0453,
GO:0004131~cytosine deaminase activity	codA,
GO:0004133~glycogen debranching enzyme activity	BPSL2077,
GO:0004134~4-alpha-glucanotransferase activity	BPSL2079,
GO:0004139~deoxyribose-phosphate aldolase activity	deoC,
GO:0004140~dephospho-CoA kinase activity	coaE,
GO:0004141~dethiobiotin synthase activity	bioD,
GO:0004143~diacylglycerol kinase activity	BPSL1189,
GO:0004145~diamine N-acetyltransferase activity	speG,
GO:0004146~dihydrofolate reductase activity	BPSL2476,
GO:0004148~dihydrolipoyl dehydrogenase activity	lpdV,BPSL2299,odhL,
GO:0004149~dihydrolipoyllysine-residue succinyltransferase activity	sucB,
GO:0004150~dihydroneopterin aldolase activity	folB,BPSL0315,
GO:0004151~dihydroorotase activity	pyrC,pyrX,
GO:0004152~dihydroorotate dehydrogenase activity	pyrD,
GO:0004156~dihydropteroate synthase activity	folP,
GO:0004160~dihydroxy-acid dehydratase activity	ilvD,
GO:0004170~dUTP diphosphatase activity	dut,
GO:0004174~electron-transferring-flavoprotein dehydrogenase activity	BPSL1961,
GO:0004175~endopeptidase activity	BPSS1867,BPSS1018,
GO:0004176~ATP-dependent peptidase activity	ftsH,radA,lon,clpP,BPSL0245,
GO:0004177~aminopeptidase activity	BPSS1992,BPSS1303,BPSS0563,pip,BPSL3089,BPSL3070,BPSL2892,BPSL2544,map2,map,pepA,
GO:0004180~carboxypeptidase activity	BPSS2304,BPSS1561,ftsI,BPSS0816,BPSS0238,mrcA,BPSL2122,BPSL2104,BPSL0408,mrdA,
GO:0004181~metallocarboxypeptidase activity	BPSL1242,
GO:0004185~serine-type carboxypeptidase activity	BPSS1561,BPSS0655,BPSL2974,BPSL2715,BPSL0805,BPSL0353,
GO:0004190~aspartic-type endopeptidase activity	gspO,BPSS2187,BPSL1898,BPSL1254,lspA,
GO:0004222~metalloendopeptidase activity	BPSS1555,BPSS1867,dtmL,BPSS1175,ftsH,BPSS1018,BPSS0827,BPSS0666,BPSS0580,BPSS0564,BPSL2482,BPSL2305,BPSL2152,BPSL0787,ybeY,BPSL0194,htpX,
GO:0004252~serine-type endopeptidase activity	mprA,BPSS1973,BPSS1774,BPSS1734,BPSS1562,BPSS1346,BPSS1113,BPSS0974,BPSS0962,BPSS0827,BPSS0666,BPSL3125,BPSL2639,BPSL2433,lepB,radA,BPSL2142,BPSL2006,lexA,lon,clpP,BPSL0808,BPSL0574,BPSL0245,
GO:0004298~threonine-type endopeptidase activity	hslV,
GO:0004300~enoyl-CoA hydratase activity	BPSS1001,paaG,paaF,
GO:0004308~exo-alpha-sialidase activity	BPSS1911,
GO:0004309~exopolyphosphatase activity	BPSL1367,
GO:0004311~farnesyltranstransferase activity	BPSS2340,BPSS0232,BPSL2090,
GO:0004312~fatty acid synthase activity	BPSS1955,
GO:0004314~[acyl-carrier-protein] S-malonyltransferase activity	BPSS1004,BPSS0300,fabD,
GO:0004315~3-oxoacyl-[acyl-carrier-protein] synthase activity	BPSS1269,BPSS1197,BPSS1173,BPSS1172,BPSS1170,BPSS1008,BPSS1007,BPSS1006,fabH,BPSS0483,BPSS0311,BPSS0306,BPSL3326,BPSL3324,wcbR,fabF,BPSL0487,
GO:0004316~3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	fabG,
GO:0004317~3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity	fabZ,
GO:0004318~enoyl-[acyl-carrier-protein] reductase (NADH) activity	BPSS0721,fabI,fabV,
GO:0004324~ferredoxin-NADP+ reductase activity	fpr,
GO:0004325~ferrochelatase activity	hemH,
GO:0004326~tetrahydrofolylpolyglutamate synthase activity	folC,
GO:0004328~formamidase activity	kynB,
GO:0004332~fructose-bisphosphate aldolase activity	cbbA,
GO:0004333~fumarate hydratase activity	BPSS0372,fumC,
GO:0004334~fumarylacetoacetase activity	BPSL2738,
GO:0004337~geranyltranstransferase activity	ispA,
GO:0004340~glucokinase activity	glk,
GO:0004343~glucosamine 6-phosphate N-acetyltransferase activity	BPSL1432,
GO:0004345~glucose-6-phosphate dehydrogenase activity	zwf,
GO:0004347~glucose-6-phosphate isomerase activity	pgi,
GO:0004349~glutamate 5-kinase activity	proB,
GO:0004350~glutamate-5-semialdehyde dehydrogenase activity	proA,
GO:0004353~glutamate dehydrogenase [NAD(P)+] activity	BPSL2925,
GO:0004355~glutamate synthase (NADPH) activity	glt2,
GO:0004356~glutamate-ammonia ligase activity	BPSS0469,BPSL2336,glnA,
GO:0004357~glutamate-cysteine ligase activity	gshA,BPSL0001,
GO:0004358~glutamate N-acetyltransferase activity	argJ,
GO:0004359~glutaminase activity	nadE,glsA,hisH,
GO:0004360~glutamine-fructose-6-phosphate transaminase (isomerizing) activity	glmS,
GO:0004362~glutathione-disulfide reductase (NADPH) activity	grxC,gor,
GO:0004363~glutathione synthase activity	gshB,
GO:0004367~glycerol-3-phosphate dehydrogenase [NAD+] activity	gpsA,
GO:0004368~glycerol-3-phosphate dehydrogenase (quinone) activity	glpD,
GO:0004370~glycerol kinase activity	glpK,
GO:0004371~glycerone kinase activity	BPSS0261,BPSS0260,BPSL1613,
GO:0004372~glycine hydroxymethyltransferase activity	glyA2,glyA1,
GO:0004375~glycine dehydrogenase (decarboxylating) activity	gcvP,
GO:0004385~guanylate kinase activity	gmk,
GO:0004386~helicase activity	BPSS1291,BPSS0856,dbpA,priA,rep,recQ,ruvB,ruvA,recG,BPSL2556,BPSL2324,BPSL2187,mfd,BPSL1979,BPSL1530,rho,dnaB,recD,recB,recC,rhlE2,BPSL0765,BPSL0763,rhlE1,
GO:0004397~histidine ammonia-lyase activity	hutH,
GO:0004399~histidinol dehydrogenase activity	hisD,
GO:0004400~histidinol-phosphate transaminase activity	hisC2,hisC1,
GO:0004411~homogentisate 1,2-dioxygenase activity	hmgA,
GO:0004412~homoserine dehydrogenase activity	hom,
GO:0004413~homoserine kinase activity	thrB,
GO:0004416~hydroxyacylglutathione hydrolase activity	gloB,
GO:0004417~hydroxyethylthiazole kinase activity	thiM,
GO:0004418~hydroxymethylbilane synthase activity	hemC,
GO:0004419~hydroxymethylglutaryl-CoA lyase activity	BPSL0333,
GO:0004421~hydroxymethylglutaryl-CoA synthase activity	BPSS1002,
GO:0004424~imidazoleglycerol-phosphate dehydratase activity	hisB,
GO:0004425~indole-3-glycerol-phosphate synthase activity	trpC,
GO:0004427~inorganic diphosphatase activity	ppa,
GO:0004450~isocitrate dehydrogenase (NADP+) activity	icd,
GO:0004451~isocitrate lyase activity	aceA,
GO:0004455~ketol-acid reductoisomerase activity	BPSS0305,ilvC,
GO:0004456~phosphogluconate dehydratase activity	edd,
GO:0004458~D-lactate dehydrogenase (cytochrome) activity	BPSS1318,
GO:0004460~L-lactate dehydrogenase (cytochrome) activity	lldA,
GO:0004462~lactoylglutathione lyase activity	gloA,
GO:0004467~long-chain fatty acid-CoA ligase activity	fadD,
GO:0004470~malic enzyme activity	BPSL3242,maeB,
GO:0004471~malate dehydrogenase (decarboxylating) (NAD+) activity	BPSL3242,maeB,
GO:0004473~malate dehydrogenase (decarboxylating) (NADP+) activity	BPSL3242,maeB,
GO:0004474~malate synthase activity	aceB,
GO:0004475~mannose-1-phosphate guanylyltransferase activity	manC,BPSS1835,
GO:0004477~methenyltetrahydrofolate cyclohydrolase activity	folD,
GO:0004478~methionine adenosyltransferase activity	metK,
GO:0004479~methionyl-tRNA formyltransferase activity	fmt,
GO:0004486~methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity	folD,
GO:0004488~methylenetetrahydrofolate dehydrogenase (NADP+) activity	folD,
GO:0004489~methylenetetrahydrofolate reductase (NAD(P)H) activity	metF,
GO:0004491~methylmalonate-semialdehyde dehydrogenase (acylating) activity	BPSS0743,mmsA,msdA,
GO:0004497~monooxygenase activity	BPSS2327,BPSS2326,BPSS2265,BPSS2111,BPSS1969,BPSS1708,BPSS1672,BPSS1654,BPSS1190,BPSS0926,BPSS0851,BPSS0829,BPSS0686,BPSS0626,BPSS0317,BPSS0314,BPSS0023,phhA,BPSL3059,coq7,BPSL2893,BPSL2400,BPSL2350,ssuD,BPSL1776,BPSL1646,
GO:0004499~N,N-dimethylaniline monooxygenase activity	BPSS2326,BPSS1969,BPSS0926,
GO:0004505~phenylalanine 4-monooxygenase activity	phhA,
GO:0004514~nicotinate-nucleotide diphosphorylase (carboxylating) activity	pncB,nadC,BPSL0717,
GO:0004515~nicotinate-nucleotide adenylyltransferase activity	nadD,
GO:0004516~nicotinate phosphoribosyltransferase activity	pncB,BPSL0717,
GO:0004518~nuclease activity	BPSS2211,BPSS1983,polA,xseB,BPSS1058,BPSS1052,BPSS0855,BPSS0388,uvrB,uvrA,BPSL3274,BPSL2958,ruvC,BPSL2692,orn,rne,rnc,uvrC,BPSL2315,BPSL2279,rnhB,rnr,rnhA,dnaQ,recD,recB,recC,BPSL0946,xseA,ybeY,BPSL0191,rnpA,
GO:0004519~endonuclease activity	BPSS1983,BPSS1845,BPSS1382,BPSS1066,BPSS1052,BPSS0390,rne,rnc,BPSL2315,rnhB,BPSL1394,rnhA,BPSL1145,nth,BPSL0945,ybeY,BPSL0243,BPSL0191,BPSL0169,rnpA,BPSL0043,
GO:0004520~endodeoxyribonuclease activity	ruvC,
GO:0004521~endoribonuclease activity	BPSL2958,rne,ybeY,
GO:0004523~RNA-DNA hybrid ribonuclease activity	rnhB,rnhA,
GO:0004525~ribonuclease III activity	rnc,
GO:0004526~ribonuclease P activity	rnpA,
GO:0004527~exonuclease activity	BPSS2211,BPSS1845,polA,xseB,BPSS1382,BPSL2556,orn,BPSL2315,BPSL2279,rnr,dnaQ,recD,recB,recC,xseA,BPSL0243,BPSL0191,
GO:0004528~phosphodiesterase I activity	BPSS0855,
GO:0004531~deoxyribonuclease II activity	BPSS1983,
GO:0004536~deoxyribonuclease activity	BPSL1439,
GO:0004540~ribonuclease activity	BPSS2053,BPSL2977,BPSL2958,rne,rnr,cafA,
GO:0004550~nucleoside diphosphate kinase activity	ndk,
GO:0004551~nucleotide diphosphatase activity	BPSL1159,
GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds	BPSS2081,BPSS1977,BPSS1797,bglB,bcsZ,BPSS0542,BPSL3046,nagZ,BPSL2078,BPSL2077,glgB,glgE,BPSL2015,BPSL1957,BPSL1763,BPSL0611,BPSL0500,BPSL0262,
GO:0004555~alpha,alpha-trehalase activity	treA,
GO:0004557~alpha-galactosidase activity	BPSS2081,
GO:0004563~beta-N-acetylhexosaminidase activity	nagZ,BPSL0500,
GO:0004585~ornithine carbamoyltransferase activity	pyrB,arcB,argF,
GO:0004588~orotate phosphoribosyltransferase activity	pyrE,
GO:0004590~orotidine-5'-phosphate decarboxylase activity	pyrF,
GO:0004591~oxoglutarate dehydrogenase (succinyl-transferring) activity	sucA,
GO:0004592~pantoate-beta-alanine ligase activity	panC,
GO:0004594~pantothenate kinase activity	coaX,
GO:0004595~pantetheine-phosphate adenylyltransferase activity	coaD,
GO:0004601~peroxidase activity	katE,BPSS1861,katB,ahpC,cpo,BPSL3019,tpx,BPSL2748,gpo,ahpD,BPSL2096,BPSL2017,BPSL1467,BPSL1264,BPSL0071,katG,
GO:0004602~glutathione peroxidase activity	gpo,
GO:0004604~phosphoadenylyl-sulfate reductase (thioredoxin) activity	cysH,
GO:0004605~phosphatidate cytidylyltransferase activity	BPSL2154,
GO:0004609~phosphatidylserine decarboxylase activity	BPSS2261,psd,
GO:0004611~phosphoenolpyruvate carboxykinase activity	pckG,
GO:0004613~phosphoenolpyruvate carboxykinase (GTP) activity	pckG,
GO:0004614~phosphoglucomutase activity	pgm,
GO:0004616~phosphogluconate dehydrogenase (decarboxylating) activity	gnd,
GO:0004617~phosphoglycerate dehydrogenase activity	serA,
GO:0004618~phosphoglycerate kinase activity	pgk,
GO:0004619~phosphoglycerate mutase activity	gpmA,
GO:0004629~phospholipase C activity	BPSS0067,acpA,plcN2,plcN,
GO:0004632~phosphopantothenate--cysteine ligase activity	dfp,
GO:0004633~phosphopantothenoylcysteine decarboxylase activity	dfp,
GO:0004634~phosphopyruvate hydratase activity	eno,
GO:0004635~phosphoribosyl-AMP cyclohydrolase activity	hisI,
GO:0004636~phosphoribosyl-ATP diphosphatase activity	hisE,
GO:0004637~phosphoribosylamine-glycine ligase activity	purD,
GO:0004638~phosphoribosylaminoimidazole carboxylase activity	purK,
GO:0004639~phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	purC,
GO:0004640~phosphoribosylanthranilate isomerase activity	trpF,
GO:0004641~phosphoribosylformylglycinamidine cyclo-ligase activity	purM,
GO:0004642~phosphoribosylformylglycinamidine synthase activity	purL,
GO:0004643~phosphoribosylaminoimidazolecarboxamide formyltransferase activity	purH,
GO:0004644~phosphoribosylglycinamide formyltransferase activity	purT,purN,
GO:0004645~1,4-alpha-oligoglucan phosphorylase activity	deoA,
GO:0004648~O-phospho-L-serine:2-oxoglutarate aminotransferase activity	serC,
GO:0004652~polynucleotide adenylyltransferase activity	pcnB,
GO:0004654~polyribonucleotide nucleotidyltransferase activity	pnp,
GO:0004655~porphobilinogen synthase activity	hemB,
GO:0004657~proline dehydrogenase activity	putA,
GO:0004659~prenyltransferase activity	ubiX,ubiA,uppS,
GO:0004664~prephenate dehydratase activity	pheC,pheA,
GO:0004665~prephenate dehydrogenase (NADP+) activity	aroA,
GO:0004671~protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	BPSS1975,BPSS1034,
GO:0004672~protein kinase activity	BPSS2102,BPSL1828,ubiB,BPSL0597,BPSL0571,hprK,
GO:0004673~protein histidine kinase activity	irlS,BPSS2345,BPSS2246,irlS2,BPSS1940,BPSS1871,BPSS1646,BPSS1605,BPSS1495,BPSS1460,BPSS1360,BPSS0813,BPSS0706,BPSS0687,BPSS0642,BPSS0631,BPSS0117,BPSS0062,BPSL3427,cheA,glnL,BPSL2313,BPSL2302,BPSL2095,BPSL2025,BPSL1983,BPSL1634,BPSL1365,kdpD,BPSL1037,BPSL0807,BPSL0774,BPSL0732,BPSL0703,dctB,BPSL0201,BPSL0127,BPSL0039,
GO:0004674~protein serine/threonine kinase activity	BPSL2143,hprK,aceK,srkA,
GO:0004712~protein serine/threonine/tyrosine kinase activity	hprK,
GO:0004713~protein tyrosine kinase activity	BPSS2102,BPSS1830,BPSL2778,
GO:0004714~transmembrane receptor protein tyrosine kinase activity	BPSL2778,
GO:0004719~protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	pcm,
GO:0004721~phosphoprotein phosphatase activity	BPSS1832,BPSS1432,cheZ,BPSL2779,BPSL2291,BPSL1365,aceK,
GO:0004725~protein tyrosine phosphatase activity	BPSS1832,BPSS1432,BPSL2779,BPSL2291,
GO:0004731~purine-nucleoside phosphorylase activity	BPSL1533,
GO:0004733~pyridoxamine-phosphate oxidase activity	pdxH,
GO:0004735~pyrroline-5-carboxylate reductase activity	proC,
GO:0004739~pyruvate dehydrogenase (acetyl-transferring) activity	aceE,pdhA,
GO:0004742~dihydrolipoyllysine-residue acetyltransferase activity	pdhB,
GO:0004743~pyruvate kinase activity	pyk,pykA,
GO:0004746~riboflavin synthase activity	ribE,
GO:0004747~ribokinase activity	rbsK,
GO:0004748~ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	BPSS2282,BPSS0479,BPSL2992,nrdB,
GO:0004749~ribose phosphate diphosphokinase activity	prs,
GO:0004750~ribulose-phosphate 3-epimerase activity	rpe,
GO:0004751~ribose-5-phosphate isomerase activity	rpiA,
GO:0004756~selenide, water dikinase activity	selD,
GO:0004764~shikimate 3-dehydrogenase (NADP+) activity	aroE,
GO:0004765~shikimate kinase activity	aroK,
GO:0004766~spermidine synthase activity	speE,
GO:0004768~stearoyl-CoA 9-desaturase activity	BPSL0911,
GO:0004775~succinate-CoA ligase (ADP-forming) activity	sucD,sucC,
GO:0004781~sulfate adenylyltransferase (ATP) activity	BPSL2217,cysN,cysD,
GO:0004783~sulfite reductase (NADPH) activity	BPSS1241,
GO:0004784~superoxide dismutase activity	sodB,
GO:0004787~thiamine-diphosphatase activity	nudJ,
GO:0004789~thiamine-phosphate diphosphorylase activity	BPSS1216,thiE,
GO:0004791~thioredoxin-disulfide reductase activity	trxB,
GO:0004792~thiosulfate sulfurtransferase activity	BPSS2135,BPSS1766,BPSS0647,
GO:0004793~threonine aldolase activity	ltaE,
GO:0004794~L-threonine ammonia-lyase activity	ilvA,
GO:0004795~threonine synthase activity	thrC,
GO:0004798~thymidylate kinase activity	tmk,
GO:0004799~thymidylate synthase activity	thyA,
GO:0004801~transaldolase activity	tal,
GO:0004802~transketolase activity	tktA,
GO:0004803~transposase activity	BPSS2148a,BPSS2079,BPSS2005,BPSS1519,BPSS1472,BPSS1209,BPSS0338,BPSS0070,BPSL3160,BPSL1704,BPSL1675,BPSL0091,
GO:0004805~trehalose-phosphatase activity	otsB,
GO:0004806~triglyceride lipase activity	lipA2,lipA1,BPSS0746,
GO:0004807~triose-phosphate isomerase activity	tpiA,
GO:0004808~tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity	mnmC,
GO:0004810~tRNA adenylyltransferase activity	cca,
GO:0004812~aminoacyl-tRNA ligase activity	trpS,BPSS1317,ileS2,BPSS0820,proS,leuS,tyrS,serS,lysS,cysS,gltX,glnS,alaS,valS,thrS,pheS,pheT,hisS,BPSL1181,dnaE,gluQ,metG,ileS1,glyQ,glyS,aspS,argS,
GO:0004813~alanine-tRNA ligase activity	BPSS1317,alaS,BPSL1181,
GO:0004814~arginine-tRNA ligase activity	glyS,argS,
GO:0004815~aspartate-tRNA ligase activity	aspS,
GO:0004817~cysteine-tRNA ligase activity	cysS,
GO:0004818~glutamate-tRNA ligase activity	gltX,
GO:0004819~glutamine-tRNA ligase activity	glnS,
GO:0004820~glycine-tRNA ligase activity	glyQ,glyS,
GO:0004821~histidine-tRNA ligase activity	hisS,
GO:0004822~isoleucine-tRNA ligase activity	ileS2,ileS1,
GO:0004823~leucine-tRNA ligase activity	BPSS0820,leuS,
GO:0004824~lysine-tRNA ligase activity	lysS,
GO:0004825~methionine-tRNA ligase activity	metG,
GO:0004826~phenylalanine-tRNA ligase activity	pheS,pheT,
GO:0004827~proline-tRNA ligase activity	proS,
GO:0004828~serine-tRNA ligase activity	serS,
GO:0004829~threonine-tRNA ligase activity	thrS,
GO:0004830~tryptophan-tRNA ligase activity	trpS,
GO:0004831~tyrosine-tRNA ligase activity	tyrS,
GO:0004832~valine-tRNA ligase activity	valS,
GO:0004833~tryptophan 2,3-dioxygenase activity	kynA,
GO:0004834~tryptophan synthase activity	trpB,trpA,
GO:0004844~uracil DNA N-glycosylase activity	BPSS2233,ung,BPSL2183,
GO:0004845~uracil phosphoribosyltransferase activity	pyrR,upp,
GO:0004848~ureidoglycolate hydrolase activity	allA,
GO:0004851~uroporphyrin-III C-methyltransferase activity	BPSS1245,BPSL0961,
GO:0004852~uroporphyrinogen-III synthase activity	BPSL1016,
GO:0004853~uroporphyrinogen decarboxylase activity	hemE,
GO:0004854~xanthine dehydrogenase activity	xdhA,
GO:0004855~xanthine oxidase activity	xdhA,
GO:0004856~xylulokinase activity	xylB,dalK,
GO:0004866~endopeptidase inhibitor activity	BPSS0817,
GO:0004867~serine-type endopeptidase inhibitor activity	eco,
GO:0004888~transmembrane signaling receptor activity	BPSS1941,BPSS1927,BPSS1875,BPSS0933,BPSS0733,BPSS0460,aer,tar,tsr,BPSL3338,BPSL1976,BPSL1829,BPSL1732,BPSL1611,BPSL0465,BPSL0323,
GO:0005085~guanyl-nucleotide exchange factor activity	bopE,
GO:0005096~GTPase activator activity	bopE,
GO:0005198~structural molecule activity	fliC,BPSL0281,BPSL0280,flgI,fliE,
GO:0005242~inward rectifier potassium channel activity	BPSL0355,
GO:0005244~voltage-gated ion channel activity	BPSL0355,BPSS0353,
GO:0005247~voltage-gated chloride channel activity	BPSS1868,BPSS1012,BPSS0766,BPSL2593,BPSL1570,
GO:0005254~chloride channel activity	BPSS0968,
GO:0005315~inorganic phosphate transmembrane transporter activity	BPSS1566,BPSL1464,pstB,pstA,pstC,
GO:0005337~nucleoside transmembrane transporter activity	BPSS1963,
GO:0005344~oxygen carrier activity	hmpA,
GO:0005381~iron ion transmembrane transporter activity	BPSS1999,BPSS0359,
GO:0005506~iron ion binding	BPSS2327,benA,catA,BPSS1888,BPSS1765,tsaD,BPSS1654,BPSS1453,pcaG,pcaH,BPSS1206,BPSS0977,BPSS0554,BPSS0023,phhA,BPSL3354,BPSL3329,BPSL3271,BPSL3181,cyaY,nuoB2,erpA,hmgA,xdhA,xdhB,rubA,lapB,BPSL2373,hutI,BPSL2326,BPSL2322,BPSL2288,BPSL1600,ispG,rlmD,BPSL1274,BPSL1257,BPSL1256,nuoI,nuoB1,BPSL0968,BPSL0804,BPSL0720,BPSL0697,BPSL0696,bioB,
GO:0005507~copper ion binding	cyoA,BPSS1487,BPSS1452,BPSS0458,BPSS0456,BPSS0351,BPSS0224,nosZ,BPSL1454,BPSL1259,BPSL0931,BPSL0897,BPSL0723,BPSL0456,BPSL0453,cutC,
GO:0005509~calcium ion binding	BPSL1708,BPSL1661,nosZ,
